career_outcome_code,universe_code,name,description,governance_status,version,source_workbook
CAR-COM-ACTUARIAL-SCIENCE-60978,UNI-COMMERCE,Actuarial Science,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-ADVERTISING-BRAND-37769,UNI-COMMERCE,Advertising & Branding,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-BANKING-CAREERS-D0CED,UNI-COMMERCE,Banking Careers,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-BUSINESS-ANALYTIC-DA68E,UNI-COMMERCE,Business Analytics,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-CHARTERED-ACCOUNT-994BF,UNI-COMMERCE,Chartered Accountant,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-COMPANY-SECRETARY-C940B,UNI-COMMERCE,Company Secretary,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-COST-ACCOUNTANT-D0B3B,UNI-COMMERCE,Cost Accountant,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-DIGITAL-BUSINESS-ED6E8,UNI-COMMERCE,Digital Business,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-DIGITAL-MARKETING-55CFE,UNI-COMMERCE,Digital Marketing,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-E-COMMERCE-ADVANC-7DBD5,UNI-COMMERCE,E-Commerce Advanced,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-ECONOMIST-E7A1B,UNI-COMMERCE,Economist,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-FINANCIAL-DATA-AN-0EA90,UNI-COMMERCE,Financial Data Analyst,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-FINTECH-ADVANCED-F6969,UNI-COMMERCE,FinTech Advanced,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-FINTECH-SPECIALIS-EC519,UNI-COMMERCE,FinTech Specialist,,Validated,0.6.1a,3-Structured - Commerce.xlsx
CAR-COM-GLOBAL-FREELANCE-495EF,UNI-COMMERCE,Global Freelance Careers,,Validated,0.6.1a,3-Structured - Commerce.xlsx
