career_outcome_code,universe_code,name,governance_status,version,source_document
CAR-COM-CA-01,UNI-COMMERCE,Chartered Accountant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CA-02,UNI-COMMERCE,Auditor,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CA-03,UNI-COMMERCE,Tax Consultant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CA-04,UNI-COMMERCE,CFO,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CMA-01,UNI-COMMERCE,Cost Accountant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CMA-02,UNI-COMMERCE,Financial Controller,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CMA-03,UNI-COMMERCE,Pricing Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-FA-01,UNI-COMMERCE,Financial Accountant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-FA-02,UNI-COMMERCE,Reporting Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-FA-03,UNI-COMMERCE,Accounts Executive,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-AUD-01,UNI-COMMERCE,Auditor,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-AUD-02,UNI-COMMERCE,Internal Auditor,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-AUD-03,UNI-COMMERCE,Assurance Associate,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-FORACC-01,UNI-COMMERCE,Forensic Accountant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-FORACC-02,UNI-COMMERCE,Fraud Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-INSOLV-01,UNI-COMMERCE,Insolvency Professional,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-INSOLV-02,UNI-COMMERCE,Restructuring Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-DTAX-01,UNI-COMMERCE,Tax Consultant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-DTAX-02,UNI-COMMERCE,Direct Tax Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-IDTAX-01,UNI-COMMERCE,GST Consultant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-IDTAX-02,UNI-COMMERCE,Indirect Tax Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-INTTAX-01,UNI-COMMERCE,International Tax Consultant,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-INTTAX-02,UNI-COMMERCE,Transfer Pricing Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CS-01,UNI-COMMERCE,Company Secretary,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CS-02,UNI-COMMERCE,Compliance Officer,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-CS-03,UNI-COMMERCE,Legal Advisor,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-COMP-01,UNI-COMMERCE,Compliance Officer,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
CAR-COM-COMP-02,UNI-COMMERCE,Governance Analyst,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
