degree_code,universe_code,name,degree_level,duration,eligibility_snapshot,source_url,governance_status,version,source_workbook
DEG-HUM-BA-MA-IKS-65F77,UNI-HUMANITIES,BA/MA IKS,,,12th Arts Preferred,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-HUM-BA-MA-MUSEOLOGY-DBB55,UNI-HUMANITIES,BA/MA Museology,,,12th/Graduate,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-HUM-BA-MA-SANSKRIT-D1308,UNI-HUMANITIES,BA/MA Sanskrit,,,12th Any Stream,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-HUM-BA-MA-YOGA-STUDIE-7B495,UNI-HUMANITIES,BA/MA Yoga Studies,,,12th Any Stream,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-HUM-CERTIFICATE-DIPLO-07FD4,UNI-HUMANITIES,Certificate/Diploma/MA,,,Open/12th,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-HUM-DIPLOMA-CERTIFICA-B21F8,UNI-HUMANITIES,Diploma/Certificate,,,Open Eligibility,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-HUM-MA-TRIBAL-STUDIES-3C902,UNI-HUMANITIES,MA Tribal Studies,,,Graduate Level,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DEG-INTD-BA-MA-ECONOMICS-5C227,UNI-INTERDISCIPLINARY,BA/MA economics/behavioural science,,,Any stream with maths/economics helpful,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BA-MA-JOURNALISM-C8017,UNI-INTERDISCIPLINARY,BA/MA journalism + data analytics,,,Any stream,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BA-MA-PUBLIC-POL-122D5,UNI-INTERDISCIPLINARY,BA/MA Public Policy; MPP,,,Any stream/graduate,https://www.nls.ac.in/programme/master-of-public-policy/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BBA-BCOM-FINTECH-FE253,UNI-INTERDISCIPLINARY,BBA/BCom FinTech; MBA FinTech; BS data + finance,,,Commerce/PCM/any UG with maths useful,https://onlinedegree.iitm.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BBA-BDES-IT-STRU-E7D27,UNI-INTERDISCIPLINARY,BBA/BDes/IT + structured product/automation certification,,,Any graduate with tech aptitude,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BCOM-BBA-ANALYTI-0AEFA,UNI-INTERDISCIPLINARY,BCom/BBA + analytics; MBA analytics; MSc finance,,,Commerce/statistics/economics/engineering,https://study.iitm.ac.in/mg/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BCOM-LLB-MBA-PG-5002F,UNI-INTERDISCIPLINARY,BCom/LLB/MBA/PG compliance analytics,,,Commerce/law/data background,https://www.iift.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BDES-MDES-MBA-PR-53875,UNI-INTERDISCIPLINARY,BDes/MDes/MBA product/design,,,Design/engineering/business background,https://www.uceed.iitb.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BDES-MDES-SERVIC-486A9,UNI-INTERDISCIPLINARY,BDes/MDes service design; MBA design strategy,,,Any stream for UG design; graduation for PG,https://admissions.nid.edu/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BDES-MDES-UX-PSY-E341C,UNI-INTERDISCIPLINARY,BDes/MDes UX; psychology + UX PG,,,Any stream; psychology/design/engineering useful,https://www.uceed.iitb.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BIOTECH-LIFE-SCI-A572E,UNI-INTERDISCIPLINARY,Biotech/life science + MBA/entrepreneurship,,,Life science/biotech background,https://www.startupindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BPHARM-MPHARM-MB-DD35B,UNI-INTERDISCIPLINARY,BPharm/MPharm/MBA Pharma,,,Pharmacy/life sciences/economics,https://www.niper.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BSC-AGRI-AGRI-EN-FC225,UNI-INTERDISCIPLINARY,BSc Agri/Agri engineering; GIS/IoT certificate,,,PCB/PCM/agri background,https://www.manage.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BSC-AGRI-MBA-AGR-10130,UNI-INTERDISCIPLINARY,BSc Agri; MBA AgriBusiness; analytics,,,BSc agri/commerce/science/management,https://www.manage.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-BTECH-FOOD-TECH-B7E06,UNI-INTERDISCIPLINARY,BTech food tech/MBA supply chain,,,PCM/PCB; graduate for MBA,https://www.startupindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-DATA-SCIENCE-POL-C56C8,UNI-INTERDISCIPLINARY,Data science + policy/administration,,,Any graduate; quantitative skills required,https://onlinedegree.iitm.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-ENVIRONMENTAL-PL-EBD96,UNI-INTERDISCIPLINARY,Environmental planning/climate policy,,,Science/geography/policy,https://www.ugc.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-FILM-MEDIA-DEGRE-099C1,UNI-INTERDISCIPLINARY,Film/media degree + structured AI/media certification,,,Any graduate; media background,https://www.ftii.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-FINTECH-REGTECH-2F33F,UNI-INTERDISCIPLINARY,FinTech/RegTech PG; law/commerce + blockchain certification,,,Commerce/law/IT,https://www.startupindia.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-GEOINFORMATICS-R-3EAD4,UNI-INTERDISCIPLINARY,Geoinformatics/remote sensing + AI,,,Geography/PCM/civil/CS,https://swayam.gov.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-HCI-COGNITIVE-SC-BADAA,UNI-INTERDISCIPLINARY,HCI/cognitive science/design programmes,,,Design/psychology/CS,https://www.ceed.iitb.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-LLB-DESIGN-THINK-5CECE,UNI-INTERDISCIPLINARY,LLB + design thinking/communication design,,,Law/design background,https://admissions.nid.edu/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-LLB-LLM-CYBER-LA-3CDD0,UNI-INTERDISCIPLINARY,LLB/LLM Cyber Law; PG cyber law diploma,,,Law graduate preferred; IT background useful,https://www.nls.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-LLB-LLM-TECH-LAW-F4A7C,UNI-INTERDISCIPLINARY,LLB/LLM Tech Law; PG diploma data protection; CS + compliance,,,Law/IT/management graduate; privacy specialization,https://www.nls.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-LLB-PRODUCT-UX-C-D5D43,UNI-INTERDISCIPLINARY,LLB + product/UX certification; MBA/PG tech management,,,Law graduate with tech aptitude,https://admissions.nid.edu/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
DEG-INTD-M-E-CERTIFICATE-26D25,UNI-INTERDISCIPLINARY,M&E certificate + MA development/policy,,,Any graduate,https://www.irma.ac.in/,Validated,0.6.1a,6-Structured-Interdisciplinary.xlsx
