domain_code,universe_code,name,description,governance_status,version,source_workbook
DOM-COM-ACCOUNTING-AUDITI-6FD22,UNI-COMMERCE,Accounting & Auditing,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-ACTUARIAL-6ADF8,UNI-COMMERCE,Actuarial,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-ACTUARIAL-SCIENCE-60978,UNI-COMMERCE,Actuarial Science,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-ADVERTISING-BRAND-37769,UNI-COMMERCE,Advertising & Branding,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-BANKING-FINANCIAL-F594D,UNI-COMMERCE,Banking & Financial Services,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-BANKING-PATHWAY-EDA9F,UNI-COMMERCE,Banking Pathway,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-BUSINESS-ANALYTIC-DA68E,UNI-COMMERCE,Business Analytics,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-BUSINESS-ENTREPRE-946A9,UNI-COMMERCE,Business & Entrepreneurship,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-CA-PATHWAY-88207,UNI-COMMERCE,CA Pathway,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-CMA-PATHWAY-4FFE5,UNI-COMMERCE,CMA Pathway,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-CORPORATE-LAW-GOV-515F6,UNI-COMMERCE,Corporate Law & Governance,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-CS-PATHWAY-28DDE,UNI-COMMERCE,CS Pathway,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-DATA-ANALYTICS-01593,UNI-COMMERCE,Data Analytics,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-DATA-ANALYTICS-CO-0DF84,UNI-COMMERCE,Data Analytics (Commerce),,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-DIGITAL-MARKETING-55CFE,UNI-COMMERCE,Digital Marketing,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-E-COMMERCE-89DCD,UNI-COMMERCE,E-Commerce,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-E-COMMERCE-ADVANC-7DBD5,UNI-COMMERCE,E-Commerce Advanced,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-E-COMMERCE-DIGITA-AFEB4,UNI-COMMERCE,E-Commerce & Digital Business,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-ECONOMICS-PATHWAY-C0E7D,UNI-COMMERCE,Economics Pathway,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-ECONOMICS-RESEARC-7EBDA,UNI-COMMERCE,Economics & Research,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-FINANCE-INVESTMEN-32ADE,UNI-COMMERCE,Finance & Investment,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-FINANCIAL-MARKETS-5025B,UNI-COMMERCE,Financial Markets,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-FINTECH-7433A,UNI-COMMERCE,FinTech,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-FINTECH-ADVANCED-F6969,UNI-COMMERCE,FinTech Advanced,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-FINTECH-DIGITAL-F-73D6B,UNI-COMMERCE,FinTech & Digital Finance,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-GLOBAL-FREELANCE-495EF,UNI-COMMERCE,Global Freelance Careers,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-INDUSTRY-OPERATIO-DCF99,UNI-COMMERCE,Industry Operations,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-INSURANCE-RISK-MA-A244B,UNI-COMMERCE,Insurance & Risk Management,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-LOGISTICS-SUPPLY-FEAD2,UNI-COMMERCE,Logistics & Supply Chain,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-PUBLIC-SECTOR-GOV-58C70,UNI-COMMERCE,Public Sector & Govt Roles,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-SPECIALIZED-ACCOU-9FEDB,UNI-COMMERCE,Specialized Accounting,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-STOCK-MARKET-ADVA-26A90,UNI-COMMERCE,Stock Market Advanced,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-TAXATION-81DD4,UNI-COMMERCE,Taxation,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-COM-WEALTH-MGMT-7EB89,UNI-COMMERCE,Wealth Mgmt,,Validated,0.6.1a,3-Structured - Commerce.xlsx
DOM-HUM-AI-ERA-HUMANITIES-5D7A4,UNI-HUMANITIES,AI-Era Humanities Careers,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-CULTURAL-MUSEUM-H-15A96,UNI-HUMANITIES,"Cultural, Museum, Heritage & Portfolio Careers",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-DIGITAL-WRITING-M-12B26,UNI-HUMANITIES,Digital Writing & Media,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-EDUCATION-TEACHIN-F6148,UNI-HUMANITIES,"Education, Teaching & Academic Careers",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-ENGLISH-LANGUAGE-F3889,UNI-HUMANITIES,English / Language,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-FINE-PERFORMING-A-72EDF,UNI-HUMANITIES,Fine/Performing Arts,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-FOREIGN-LANGUAGES-A2E1D,UNI-HUMANITIES,"Foreign Languages, Translation & Localization",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-GEOGRAPHY-ECA56,UNI-HUMANITIES,Geography,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-GEOGRAPHY-ENVIRON-49E1C,UNI-HUMANITIES,"Geography, Environment & Human Ecology",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-HISTORY-B576C,UNI-HUMANITIES,History,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-HISTORY-HERITAGE-8BCC6,UNI-HUMANITIES,"History, Heritage & Archaeology",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-HUMAN-CENTRED-EME-EC587,UNI-HUMANITIES,Human-Centred Emerging Careers,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-HUMANITIES-AI-EE1A7,UNI-HUMANITIES,Humanities + AI,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-HUMANITIES-E0AAE,UNI-HUMANITIES,Humanities,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-HUMANITIES-TECHNO-838F3,UNI-HUMANITIES,Humanities_Technology,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-INDIC-KNOWLEDGE-C-0CB30,UNI-HUMANITIES,Indic Knowledge & Culture,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-JOURNALISM-MEDIA-0A08B,UNI-HUMANITIES,"Journalism, Media & Communication",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-LANGUAGES-LITERAT-85D79,UNI-HUMANITIES,"Languages, Literature & Linguistics",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-MEDIA-COMMUNICATI-834B4,UNI-HUMANITIES,Media & Communication,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PERFORMING-ARTS-566E4,UNI-HUMANITIES,Performing Arts,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PERFORMING-FINE-A-8422E,UNI-HUMANITIES,"Performing, Fine Arts & Creative Practice",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PHILOSOPHY-B9D5A,UNI-HUMANITIES,Philosophy,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PHILOSOPHY-ETHICS-DCD19,UNI-HUMANITIES,"Philosophy, Ethics & Religious Studies",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-POLITICAL-SCIENCE-1E5AB,UNI-HUMANITIES,"Political Science, Governance & Public Administration",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-POLITICAL-SCIENCE-F9E65,UNI-HUMANITIES,Political Science,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PSYCHOLOGY-BEHAVI-C524E,UNI-HUMANITIES,Psychology & Behavioural Sciences,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PSYCHOLOGY-E7233,UNI-HUMANITIES,Psychology,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PUBLISHING-EDITOR-37FCF,UNI-HUMANITIES,"Publishing, Editorial & Knowledge Industry",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-PUBLISHING-WRITIN-53DF9,UNI-HUMANITIES,"Publishing, Writing & AI-era Content Careers",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-RESEARCH-METHODS-D3253,UNI-HUMANITIES,Research Methods,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-SOCIOLOGY-6DE4B,UNI-HUMANITIES,Sociology,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-SOCIOLOGY-SOCIAL-ACBF8,UNI-HUMANITIES,"Sociology, Social Work & Development Studies",,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-TRANSLATION-STUDI-E6541,UNI-HUMANITIES,Translation Studies,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
DOM-HUM-VISUAL-ARTS-EC5B9,UNI-HUMANITIES,Visual Arts,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
