entity_type,entity_code,source_record_code
CareerOutcome,CAR-COM-ACTUARIAL-SCIENCE-60978,SRC-COM-ACTUARIAL-2-4FD58
CareerOutcome,CAR-COM-ADVERTISING-BRAND-37769,SRC-COM-ADVERTISING-BRAND-9086B
CareerOutcome,CAR-COM-BANKING-CAREERS-D0CED,SRC-COM-BANKING-PATHWAY-2-D934D
CareerOutcome,CAR-COM-BUSINESS-ANALYTIC-DA68E,SRC-COM-BUSINESS-ANALYTIC-78DE2
CareerOutcome,CAR-COM-CHARTERED-ACCOUNT-994BF,SRC-COM-CA-PATHWAY-2-51ECD
CareerOutcome,CAR-COM-COMPANY-SECRETARY-C940B,SRC-COM-CS-PATHWAY-2-05EB2
CareerOutcome,CAR-COM-COST-ACCOUNTANT-D0B3B,SRC-COM-CMA-PATHWAY-2-20F00
CareerOutcome,CAR-COM-DIGITAL-BUSINESS-ED6E8,SRC-COM-E-COMMERCE-2-E11E5
CareerOutcome,CAR-COM-DIGITAL-MARKETING-55CFE,SRC-COM-DIGITAL-MARKETING-368B9
CareerOutcome,CAR-COM-E-COMMERCE-ADVANC-7DBD5,SRC-COM-E-COMMERCE-ADVANC-C54F5
CareerOutcome,CAR-COM-ECONOMIST-E7A1B,SRC-COM-ECONOMICS-PATHWAY-B1ABE
CareerOutcome,CAR-COM-FINANCIAL-DATA-AN-0EA90,SRC-COM-DATA-ANALYTICS-2-53883
CareerOutcome,CAR-COM-FINTECH-ADVANCED-F6969,SRC-COM-FINTECH-ADVANCED-ECAB0
CareerOutcome,CAR-COM-FINTECH-SPECIALIS-EC519,SRC-COM-FINTECH-2-D07F7
CareerOutcome,CAR-COM-GLOBAL-FREELANCE-495EF,SRC-COM-GLOBAL-FREELANCE-F3251
CareerOutcome,CAR-COM-INDUSTRY-OPERATIO-DCF99,SRC-COM-INDUSTRY-OPERATIO-E2D66
CareerOutcome,CAR-COM-SPECIALIZED-ACCOU-9FEDB,SRC-COM-SPECIALIZED-ACCOU-CB6FB
CareerOutcome,CAR-COM-STOCK-MARKET-ADVA-26A90,SRC-COM-STOCK-MARKET-ADVA-F4D2F
CareerOutcome,CAR-COM-WEALTH-MANAGER-1932D,SRC-COM-WEALTH-MGMT-2-FFA8A
CareerOutcome,CAR-HUM-ACADEMIC-EDITOR-8FE3E,SRC-HUM-CAREER-MASTER-129-99366
CareerOutcome,CAR-HUM-ACQUISITION-EDITO-E5900,SRC-HUM-CAREER-MASTER-125-880CE
CareerOutcome,CAR-HUM-ADVERTISING-COPYW-AB760,SRC-HUM-CAREER-MASTER-57-8D4F7
CareerOutcome,CAR-HUM-AI-ASSISTED-EDITO-A6525,SRC-HUM-CAREER-MASTER-156-75B2B
CareerOutcome,CAR-HUM-AI-DATASET-LANGUA-64E98,SRC-HUM-HUMANITIES-TECHNO-7337D
CareerOutcome,CAR-HUM-AI-ETHICS-RESEARC-B2E92,SRC-HUM-CAREER-MASTER-114-78926
CareerOutcome,CAR-HUM-AI-ETHICS-RESEARC-B2E92,SRC-HUM-HUMANITIES-TECHNO-D7720
