entrance_exam_code,universe_code,name,level,eligibility_snapshot,conducting_body,source_url,governance_status,version,source_workbook
EXAM-COM-ACTUARIAL-EXAMS-47DE3,UNI-COMMERCE,Actuarial Exams (IAI/IFoA),,12th with strong Math,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CA-FOUNDATION-90686,UNI-COMMERCE,CA Foundation,,After 12th (Commerce preferred),,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CA-INTERMEDIATE-2089E,UNI-COMMERCE,CA Intermediate,,After CA Foundation,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CFA-LEVEL-1-B740D,UNI-COMMERCE,CFA Level 1,,Graduate,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CFP-CERTIFICATIO-EB6C8,UNI-COMMERCE,CFP Certification,,Graduate,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CMA-FOUNDATION-F739A,UNI-COMMERCE,CMA Foundation,,After 12th,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CMA-INTERMEDIATE-A7EED,UNI-COMMERCE,CMA Intermediate,,After Foundation,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CS-EXECUTIVE-3F03A,UNI-COMMERCE,CS Executive,,After CSEET,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CSEET-42A99,UNI-COMMERCE,CSEET,,After 12th,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-CUET-UG-PG-E340A,UNI-COMMERCE,CUET (UG/PG),,12th,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-IBPS-PO-SBI-PO-7C399,UNI-COMMERCE,IBPS PO / SBI PO,,Graduate,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-COM-NISM-CERTIFICATI-57A6A,UNI-COMMERCE,NISM Certification,,12th/Graduate,,,Validated,0.6.1a,3-Structured - Commerce.xlsx
EXAM-HUM-B-ED-ENTRANCE-CE-DA16C,UNI-HUMANITIES,B.Ed. Entrance / CET,,Graduation with required marks/subjects as per state/university norms,,https://ignou.ac.in/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-CTET-STATE-TET-72CBD,UNI-HUMANITIES,CTET / State TET,,B.Ed./D.El.Ed. and level-specific eligibility,,https://ignou.ac.in/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-CUET-PG-9CDA3,UNI-HUMANITIES,CUET PG,,Graduation; programme-wise eligibility,,https://cuet.nta.nic.in/cuetug-2026-syllabus/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-CUET-UG-B27B6,UNI-HUMANITIES,CUET UG,,Class 12 passed/appearing; university-wise eligibility applies,,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2026/01/202601031633478370.pdf,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-FOREIGN-LANGUAGE-08A09,UNI-HUMANITIES,Foreign Language Certifications,,Open; level-based certification,,https://cuet.nta.nic.in/cuetug-2026-syllabus/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-FTII-SRFTI-FILM-25685,UNI-HUMANITIES,FTII / SRFTI / Film Institute Selections,,Programme-wise eligibility,,https://www.ftii.ac.in/p/admission-2025,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-MSW-DEVELOPMENT-AB4A8,UNI-HUMANITIES,MSW / Development Studies Institute Tests,,Graduation; programme-wise eligibility,,https://admissions.tiss.edu/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-NID-DAT-5FB61,UNI-HUMANITIES,NID DAT,,Class 12 for B.Des; graduation for M.Des as per NID rules,,https://admissions.nid.edu/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-NIFT-ENTRANCE-BDA34,UNI-HUMANITIES,NIFT Entrance,,Class 12/Graduation as per programme,,https://www.nift.ac.in/admission,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-RCI-RECOGNIZED-P-5BB5E,UNI-HUMANITIES,RCI-recognized programmes,,Varies by programme and recognised institute,,https://rehabcouncil.nic.in/,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-STATE-PSC-MPSC-T-B582E,UNI-HUMANITIES,State PSC / MPSC-type Exams,,Graduation; state-specific age and domicile/language rules,,https://upsc.gov.in/index.php,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
EXAM-HUM-UGC-NET-SET-37E19,UNI-HUMANITIES,UGC-NET / SET,,Master's degree as per UGC-NET criteria,,https://ugcnet.nta.ac.in/images/information-bulletin-for-ugc-net-june-2025-16042025.pdf,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
