stream_code,career_outcome_code,relationship_type,version,source_document
HUM-STR-LANG-CLASLANGANDINDO,CAR-HUM-LANG-CLASLANGANDINDO-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-ENGLLITE,CAR-HUM-LANG-ENGLLITE-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-INDIANDREGILANG,CAR-HUM-LANG-INDIANDREGILANG-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-INDIANDREGILANG,CAR-HUM-LANG-INDIANDREGILANG-02,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-LANGANDCULTCOMM,CAR-HUM-LANG-LANGANDCULTCOMM-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-LINGANDLANGSCIE,CAR-HUM-LANG-LINGANDLANGSCIE-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-SUBTDUBBANDMEDI,CAR-HUM-LANG-SUBTDUBBANDMEDI-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-TRANANDINTE,CAR-HUM-LANG-TRANANDINTE-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-WRITANDDOCU,CAR-HUM-LANG-WRITANDDOCU-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-ARCH,CAR-HUM-HHA-ARCH-01,LEADS_TO,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
