stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
HUM-STR-LANG-CLASLANGANDINDO,UNI-HUMANITIES,HUM-DOM-LANG,Classical Languages and Indology,Academic/Applied Stream,Humanities,Niche,,1,Sanskrit Studies & Indology,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-ENGLLITE,UNI-HUMANITIES,HUM-DOM-LANG,English Literature,Academic/Applied Stream,Humanities,Traditional,,1,English Literature Academic / Professor,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-INDIANDREGILANG,UNI-HUMANITIES,HUM-DOM-LANG,Indian and Regional Languages,Academic/Applied Stream,Humanities,Traditional,,2,Marathi / Regional Language Scholar; Hindi Language & Literature Career,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-LANGANDCULTCOMM,UNI-HUMANITIES,HUM-DOM-LANG,Language and Cultural Communication,Academic/Applied Stream,Humanities,Hybrid,,1,Manuscriptologist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-LINGANDLANGSCIE,UNI-HUMANITIES,HUM-DOM-LANG,Linguistics and Language Science,Academic/Applied Stream,Humanities,New-age,,1,Linguist / Language Scientist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-SUBTDUBBANDMEDI,UNI-HUMANITIES,HUM-DOM-LANG,"Subtitling, Dubbing and Media Localization",Academic/Applied Stream,Humanities,New-age,,1,Subtitling & Dubbing Script Specialist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-TRANANDINTE,UNI-HUMANITIES,HUM-DOM-LANG,Translation and Interpretation,Academic/Applied Stream,Humanities,Practical,,1,Translator / Interpreter,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-LANG-WRITANDDOCU,UNI-HUMANITIES,HUM-DOM-LANG,Writing and Documentation,Academic/Applied Stream,Humanities,New-age,,1,Technical / Documentation Writer,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-ARCH,UNI-HUMANITIES,HUM-DOM-HHA,Archaeology,Academic/Applied Stream,Humanities,Niche,,1,Archaeologist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-STR-HHA-ARCHANDRECOMANA,UNI-HUMANITIES,HUM-DOM-HHA,Archives and Records Management,Academic/Applied Stream,Humanities,Niche,,1,Archivist,,,,,,,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
