domain_code,parent_discipline_code
INT-DOM-AGRI,INT-PAR-AGRICULTURE
INT-DOM-AGRI,INT-PAR-BUSINESS
INT-DOM-AGRI,INT-PAR-DATA
INT-DOM-AGRI,INT-PAR-DESIGN
INT-DOM-AGRI,INT-PAR-FOOD-SCIENCE
INT-DOM-AGRI,INT-PAR-RURAL-MANAGEMENT
INT-DOM-AGRI,INT-PAR-SUPPLY-CHAIN
INT-DOM-AGRI,INT-PAR-TECHNOLOGY
INT-DOM-BIOSCI,INT-PAR-BIOLOGY
INT-DOM-BIOSCI,INT-PAR-COMPUTER-SCIENCE
INT-DOM-BIOSCI,INT-PAR-DATA-SCIENCE
INT-DOM-BIOSCI,INT-PAR-HEALTHCARE
INT-DOM-BIOSCI,INT-PAR-MANAGEMENT
INT-DOM-BIOSCI,INT-PAR-STATISTICS
INT-DOM-CLIMATE,INT-PAR-BUSINESS
INT-DOM-CLIMATE,INT-PAR-DESIGN
INT-DOM-CLIMATE,INT-PAR-ENVIRONMENT
INT-DOM-CLIMATE,INT-PAR-MANAGEMENT
INT-DOM-CLIMATE,INT-PAR-REPORTING
INT-DOM-CREATIVE,INT-PAR-DATA
INT-DOM-CREATIVE,INT-PAR-MANAGEMENT
INT-DOM-CREATIVE,INT-PAR-SPORTS
INT-DOM-DESIGN,INT-PAR-FASHION-DESIGN
INT-DOM-DESIGN,INT-PAR-RETAIL
INT-DOM-DESIGN,INT-PAR-TECHNOLOGY
INT-DOM-EDTECH,INT-PAR-BIOMEDICAL
INT-DOM-EDTECH,INT-PAR-CONTENT
INT-DOM-EDTECH,INT-PAR-DATA
INT-DOM-EDTECH,INT-PAR-EDUCATION
INT-DOM-EDTECH,INT-PAR-MANAGEMENT
INT-DOM-EDTECH,INT-PAR-STATISTICS
INT-DOM-EDTECH,INT-PAR-TECHNOLOGY
INT-DOM-FINTECH,INT-PAR-COMMERCE
INT-DOM-FINTECH,INT-PAR-DATA
INT-DOM-FINTECH,INT-PAR-DATA-SCIENCE
INT-DOM-FINTECH,INT-PAR-FINANCE
INT-DOM-FINTECH,INT-PAR-POLICY
INT-DOM-FINTECH,INT-PAR-STATISTICS
INT-DOM-FINTECH,INT-PAR-SUSTAINABILITY
INT-DOM-FINTECH,INT-PAR-TECHNOLOGY
INT-DOM-FRONTIER,INT-PAR-AI
INT-DOM-FRONTIER,INT-PAR-COMPUTER-SCIENCE
INT-DOM-FRONTIER,INT-PAR-LINGUISTICS
INT-DOM-GEO,INT-PAR-AI
INT-DOM-GEO,INT-PAR-ARCHITECTURE
INT-DOM-GEO,INT-PAR-CIVIL-ENVIRONMENTAL
INT-DOM-GEO,INT-PAR-DATA
INT-DOM-GEO,INT-PAR-GEOGRAPHY
INT-DOM-GEO,INT-PAR-GIS
INT-DOM-GEO,INT-PAR-POLICY
INT-DOM-GEO,INT-PAR-REMOTE-SENSING
INT-DOM-HEALTH,INT-PAR-MANAGEMENT
INT-DOM-HEALTH,INT-PAR-PHARMACY
INT-DOM-HEALTH,INT-PAR-REGULATION
INT-DOM-HUMTECH,INT-PAR-DATA
INT-DOM-HUMTECH,INT-PAR-DESIGN
INT-DOM-HUMTECH,INT-PAR-DIGITAL-ARCHIVES
INT-DOM-HUMTECH,INT-PAR-HISTORY
INT-DOM-HUMTECH,INT-PAR-LITERATURE-HISTORY
INT-DOM-HUMTECH,INT-PAR-MANAGEMENT
INT-DOM-HUMTECH,INT-PAR-TOURISM
INT-DOM-LAWTECH,INT-PAR-AI
INT-DOM-LAWTECH,INT-PAR-BUSINESS
INT-DOM-LAWTECH,INT-PAR-COMMUNICATION
INT-DOM-LAWTECH,INT-PAR-DATA-ANALYTICS
INT-DOM-LAWTECH,INT-PAR-DESIGN
INT-DOM-LAWTECH,INT-PAR-ECONOMICS
INT-DOM-LAWTECH,INT-PAR-GOVERNANCE
INT-DOM-LAWTECH,INT-PAR-LAW
INT-DOM-LAWTECH,INT-PAR-PHILOSOPHY
INT-DOM-LAWTECH,INT-PAR-POLICY
INT-DOM-LAWTECH,INT-PAR-PUBLIC-POLICY
INT-DOM-LAWTECH,INT-PAR-SOCIOLOGY
INT-DOM-LAWTECH,INT-PAR-SPACE-SCIENCE
INT-DOM-LAWTECH,INT-PAR-TECHNOLOGY
INT-DOM-MEDIAAI,INT-PAR-BUSINESS
INT-DOM-MEDIAAI,INT-PAR-CODING
INT-DOM-MEDIAAI,INT-PAR-DIGITAL-PLATFORMS
INT-DOM-MEDIAAI,INT-PAR-EDUCATION
INT-DOM-MEDIAAI,INT-PAR-FILM
INT-DOM-MEDIAAI,INT-PAR-JOURNALISM
INT-DOM-MEDIAAI,INT-PAR-MEDIA
INT-DOM-MEDIAAI,INT-PAR-SCIENCE
INT-DOM-MEDIAAI,INT-PAR-STATISTICS
INT-DOM-POLICY,INT-PAR-DATA-SCIENCE
INT-DOM-POLICY,INT-PAR-DEVELOPMENT-STUDIES
INT-DOM-POLICY,INT-PAR-MANAGEMENT
INT-DOM-POLICY,INT-PAR-MEDIA
INT-DOM-POLICY,INT-PAR-PUBLIC-POLICY
INT-DOM-POLICY,INT-PAR-SOCIOLOGY
INT-DOM-POLICY,INT-PAR-SOCIOLOGY-ECONOMICS
INT-DOM-POLICY,INT-PAR-STATISTICS
INT-DOM-PSYAI,INT-PAR-DATA
INT-DOM-PSYAI,INT-PAR-DESIGN
INT-DOM-PSYAI,INT-PAR-ECONOMICS
INT-DOM-PSYAI,INT-PAR-ENGINEERING
INT-DOM-PSYAI,INT-PAR-MARKETING
INT-DOM-PSYAI,INT-PAR-NEUROSCIENCE
INT-DOM-PSYAI,INT-PAR-PSYCHOLOGY
INT-DOM-PSYAI,INT-PAR-TECHNOLOGY
