parent_discipline_code,name,governance_status,version,source_document
INT-PAR-AGRICULTURE,Agriculture,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-AI,AI,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-ARCHITECTURE,Architecture,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-BIOLOGY,Biology,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-BIOMEDICAL,Biomedical,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-BUSINESS,Business,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-CIVIL-ENVIRONMENTAL,Civil/Environmental Science,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-CODING,Coding,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-COMMERCE,Commerce,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-COMMUNICATION,Communication,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-COMPUTER-SCIENCE,Computer Science,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-CONTENT,Content,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-DATA,Data,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-DATA-ANALYTICS,Data Analytics,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-DATA-SCIENCE,Data Science,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-DESIGN,Design,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-DEVELOPMENT-STUDIES,Development Studies,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-PAR-DIGITAL-ARCHIVES,Digital Archives,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
