stream_code,parent_discipline_code,contribution_type
INT-STR-BIOS-BIOISPEC,INT-PAR-BIOLOGY,Primary
INT-STR-BIOS-BIOISPEC,INT-PAR-COMPUTER-SCIENCE,Secondary
INT-STR-BIOS-BIOISPEC,INT-PAR-STATISTICS,Supporting
INT-STR-BIOS-HEALINFOANAL,INT-PAR-HEALTHCARE,Primary
INT-STR-BIOS-HEALINFOANAL,INT-PAR-DATA-SCIENCE,Secondary
INT-STR-BIOS-HEALINFOANAL,INT-PAR-MANAGEMENT,Supporting
INT-STR-PSYA-UXRESE,INT-PAR-PSYCHOLOGY,Primary
INT-STR-PSYA-UXRESE,INT-PAR-DESIGN,Secondary
INT-STR-PSYA-UXRESE,INT-PAR-TECHNOLOGY,Supporting
INT-STR-PSYA-BEHAECON,INT-PAR-ECONOMICS,Primary
INT-STR-PSYA-BEHAECON,INT-PAR-PSYCHOLOGY,Secondary
INT-STR-PSYA-BEHAECON,INT-PAR-DATA,Supporting
INT-STR-PSYA-NEURRESEASSO,INT-PAR-PSYCHOLOGY,Primary
INT-STR-PSYA-NEURRESEASSO,INT-PAR-MARKETING,Secondary
INT-STR-PSYA-NEURRESEASSO,INT-PAR-NEUROSCIENCE,Supporting
INT-STR-PSYA-HUMAFACTERGOSPEC,INT-PAR-PSYCHOLOGY,Primary
INT-STR-PSYA-HUMAFACTERGOSPEC,INT-PAR-DESIGN,Secondary
INT-STR-PSYA-HUMAFACTERGOSPEC,INT-PAR-ENGINEERING,Supporting
INT-STR-FINT-FINTPRODANAL,INT-PAR-FINANCE,Primary
INT-STR-FINT-FINTPRODANAL,INT-PAR-TECHNOLOGY,Secondary
INT-STR-FINT-FINTPRODANAL,INT-PAR-DATA,Supporting
INT-STR-FINT-FINAANALPROF,INT-PAR-COMMERCE,Primary
INT-STR-FINT-FINAANALPROF,INT-PAR-STATISTICS,Secondary
INT-STR-FINT-FINAANALPROF,INT-PAR-DATA-SCIENCE,Supporting
INT-STR-FINT-CLIMFINAANAL,INT-PAR-FINANCE,Primary
INT-STR-FINT-CLIMFINAANAL,INT-PAR-SUSTAINABILITY,Secondary
INT-STR-FINT-CLIMFINAANAL,INT-PAR-POLICY,Supporting
INT-STR-CLIM-ESGSUSTANAL,INT-PAR-MANAGEMENT,Primary
INT-STR-CLIM-ESGSUSTANAL,INT-PAR-ENVIRONMENT,Secondary
INT-STR-CLIM-ESGSUSTANAL,INT-PAR-REPORTING,Supporting
INT-STR-CLIM-CIRCECONCONS,INT-PAR-ENVIRONMENT,Primary
INT-STR-CLIM-CIRCECONCONS,INT-PAR-BUSINESS,Secondary
INT-STR-CLIM-CIRCECONCONS,INT-PAR-DESIGN,Supporting
INT-STR-AGRI-AGRITECHBUSIANAL,INT-PAR-AGRICULTURE,Primary
INT-STR-AGRI-AGRITECHBUSIANAL,INT-PAR-DATA,Secondary
INT-STR-AGRI-AGRITECHBUSIANAL,INT-PAR-BUSINESS,Supporting
INT-STR-AGRI-FOODTECHENTR,INT-PAR-FOOD-SCIENCE,Primary
INT-STR-AGRI-FOODTECHENTR,INT-PAR-BUSINESS,Secondary
INT-STR-AGRI-FOODTECHENTR,INT-PAR-SUPPLY-CHAIN,Supporting
INT-STR-AGRI-RURAINNOMANA,INT-PAR-RURAL-MANAGEMENT,Primary
INT-STR-AGRI-RURAINNOMANA,INT-PAR-DESIGN,Secondary
INT-STR-AGRI-RURAINNOMANA,INT-PAR-TECHNOLOGY,Supporting
