career_outcome_code,universe_code,name,governance_status,version,source_document
CAR-LAW-LIT-ADVOLITI-01,UNI-LAW,Advocate / Litigator,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-LIT-EDISCDOCUREVI-01,UNI-LAW,E-Discovery / Document Review Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-LIT-TAXLAWY-01,UNI-LAW,Tax Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-LIT-NCLTNCLAPRAC-01,UNI-LAW,NCLT / NCLAT Practitioner,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-LIT-LITIFINAANAL-01,UNI-LAW,Litigation Finance Analyst,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-JUD-JUDIOFFICIVIJUDG-01,UNI-LAW,Judicial Officer / Civil Judge,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-JUD-PUBLPROSASSIPUBL-01,UNI-LAW,Public Prosecutor / Assistant Public Prosecutor,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-JUD-LAWCLERJUDICLER-01,UNI-LAW,Law Clerk / Judicial Clerk,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-JUD-PATEAGEN-01,UNI-LAW,Patent Agent,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-JUD-DEFESERVLEGAOFFI-01,UNI-LAW,Defence Services Legal Officer / JAG,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-CORPLAWY-01,UNI-LAW,Corporate Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-INHOUSLEGACOUN-01,UNI-LAW,In-house Legal Counsel,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-CONTLIFEMANASPEC-01,UNI-LAW,Contract Lifecycle Management Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-MEDIENTELAWY-01,UNI-LAW,Media & Entertainment Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-INFRPROJLAWY-01,UNI-LAW,Infrastructure / Projects Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-LABOEMPLLAWY-01,UNI-LAW,Labour & Employment Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-LEGADESILEGAUX-01,UNI-LAW,Legal Design / Legal UX Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-SMARCONTBLOCLEGA-01,UNI-LAW,Smart Contract / Blockchain Legal Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-LEGADATAANAL-01,UNI-LAW,Legal Data Analyst,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-PHARREGULEGASPEC-01,UNI-LAW,Pharma Regulatory & Legal Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-MARISHIPLAWY-01,UNI-LAW,Maritime / Shipping Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CORP-LEGATRANMULTLEGA-01,UNI-LAW,Legal Translation / Multilingual Legal Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-GOV-COMPSECRWITHLAW-01,UNI-LAW,Company Secretary with Law Specialization,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-GOV-COMPOFFI-01,UNI-LAW,Compliance Officer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-GOV-NGOLEGACOMPOFFI-01,UNI-LAW,NGO Legal & Compliance Officer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-GOV-CSRIMPACOMPSPEC-01,UNI-LAW,CSR & Impact Compliance Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-REGUAFFASPEC-01,UNI-LAW,Regulatory Affairs Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-BANKFINALAWY-01,UNI-LAW,Banking & Finance Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-FINTPAYMLAWY-01,UNI-LAW,FinTech / Payments Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-SECULAWYCAPIMARK-01,UNI-LAW,Securities Lawyer / Capital Markets Counsel,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-INVEFUNDLAWY-01,UNI-LAW,Investment Funds Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-INSULAWYCLAICOUN-01,UNI-LAW,Insurance Lawyer / Claims Counsel,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-SANCAMLCOMPSPEC-01,UNI-LAW,Sanctions / AML Compliance Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FIN-WHITCOLLCRIMLAWY-01,UNI-LAW,White Collar Crime Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-IBC-INSOPROF-01,UNI-LAW,Insolvency Professional,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-IBC-RESOPROFSUPPANAL-01,UNI-LAW,Resolution Professional Support Analyst,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-IP-INTEPROPLAWY-01,UNI-LAW,Intellectual Property Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-IP-TRADATTOBRANPROT-01,UNI-LAW,Trademark Attorney / Brand Protection Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-DATAPROTOFFIPRIV-01,UNI-LAW,Data Protection Officer / Privacy Counsel,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-CYBELAWSPEC-01,UNI-LAW,Cyber Law Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-AIGOVEAIPOLI-01,UNI-LAW,AI Governance / AI Policy Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-LEGATECHPRODMANA-01,UNI-LAW,Legal Tech Product Manager,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-ONLIDISPRESOPLAT-01,UNI-LAW,Online Dispute Resolution Platform Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-LEGAAIPROMENGI-01,UNI-LAW,Legal AI Prompt Engineer / Workflow Designer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-DIGIPUBLINFRLAW-01,UNI-LAW,Digital Public Infrastructure Law Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-TECH-LEGAENTRLEGASERV-01,UNI-LAW,Legal Entrepreneur / Legal Services Startup Founder,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADR-ARBICOUN-01,UNI-LAW,Arbitration Counsel,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADR-MEDICONC-01,UNI-LAW,Mediator / Conciliator,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-INT-INTETRADLAWY-01,UNI-LAW,International Trade Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-INT-IMMILAWYGLOBMOBI-01,UNI-LAW,Immigration Lawyer / Global Mobility Advisor,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-INT-AVIALAWY-01,UNI-LAW,Aviation Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-INT-SPACLAWSATEPOLI-01,UNI-LAW,Space Law & Satellite Policy Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-INT-INTEORGALEGAOFFI-01,UNI-LAW,International Organization Legal Officer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-PUB-HUMARIGHLAWY-01,UNI-LAW,Human Rights Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-PUB-ENVILAWYESGCOUN-01,UNI-LAW,Environmental Lawyer / ESG Counsel,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-PUB-LEGAAIDCOOR-01,UNI-LAW,Legal Aid Coordinator,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-PUB-LEGAETHIPROFRESP-01,UNI-LAW,Legal Ethics & Professional Responsibility Officer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CRIM-FORELEGACONS-01,UNI-LAW,Forensic Legal Consultant,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CRIM-CRIMCRIMJUSTRESE-01,UNI-LAW,Criminologist / Criminal Justice Researcher,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CRIM-POLILEGAADVIINVE-01,UNI-LAW,Police Legal Advisor / Investigation Law Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-CRIM-DIGIEVIDSPEC-01,UNI-LAW,Digital Evidence Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-FAM-FAMILAWY-01,UNI-LAW,Family Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-PROP-REALESTALAWY-01,UNI-LAW,Real Estate Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-SEC-CONSPROTLAWY-01,UNI-LAW,Consumer Protection Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-SEC-ENERLAWY-01,UNI-LAW,Energy Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-SEC-HEALLAWYMEDILAW-01,UNI-LAW,Healthcare Lawyer / Medical Law Consultant,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-SEC-LEGAMETRPRODCOMP-01,UNI-LAW,Legal Metrology / Product Compliance Consultant,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-SEC-FOODLAWFSSACOMP-01,UNI-LAW,Food Law / FSSAI Compliance Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-OPS-LEGAOPERMANA-01,UNI-LAW,Legal Operations Manager,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-OPS-LEGAPUBLLAWBOOK-01,UNI-LAW,Legal Publisher / Law Book Editor,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-OPS-LAWFIRMKNOWMANA-01,UNI-LAW,Law Firm Knowledge Management Specialist,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-EDU-LEGAACADLAWPROF-01,UNI-LAW,Legal Academic / Law Professor,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-EDU-LEGARESERESEASSO-01,UNI-LAW,Legal Researcher / Research Associate,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-EDU-LEGACONTWRITEDIT-01,UNI-LAW,Legal Content Writer / Editor,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-LEGAPROCOUTSANAL-01,UNI-LAW,Legal Process Outsourcing Analyst,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-SPORLAWY-01,UNI-LAW,Sports Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-LEGIASSIPOLIDRAF-01,UNI-LAW,Legislative Assistant / Policy Drafter,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-CIVISERVWITHLAW-01,UNI-LAW,Civil Services with Law Background,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
CAR-LAW-ADJ-COMPLAWLAWY-01,UNI-LAW,Competition Law Lawyer,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
