stream_code,career_outcome_code,relationship_type,version,source_document
LAW-STR-LIT-ADVOLITI,CAR-LAW-LIT-ADVOLITI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-EDISCDOCUREVI,CAR-LAW-LIT-EDISCDOCUREVI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-TAXLAWY,CAR-LAW-LIT-TAXLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-NCLTNCLAPRAC,CAR-LAW-LIT-NCLTNCLAPRAC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-LITIFINAANAL,CAR-LAW-LIT-LITIFINAANAL-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-JUDIOFFICIVIJUDG,CAR-LAW-JUD-JUDIOFFICIVIJUDG-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-PUBLPROSASSIPUBL,CAR-LAW-JUD-PUBLPROSASSIPUBL-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-LAWCLERJUDICLER,CAR-LAW-JUD-LAWCLERJUDICLER-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-PATEAGEN,CAR-LAW-JUD-PATEAGEN-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-DEFESERVLEGAOFFI,CAR-LAW-JUD-DEFESERVLEGAOFFI-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-CORPLAWY,CAR-LAW-CORP-CORPLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-INHOUSLEGACOUN,CAR-LAW-CORP-INHOUSLEGACOUN-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-CONTLIFEMANASPEC,CAR-LAW-CORP-CONTLIFEMANASPEC-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-MEDIENTELAWY,CAR-LAW-CORP-MEDIENTELAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-INFRPROJLAWY,CAR-LAW-CORP-INFRPROJLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-LABOEMPLLAWY,CAR-LAW-CORP-LABOEMPLLAWY-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-CORP-LEGADESILEGAUX,CAR-LAW-CORP-LEGADESILEGAUX-01,LEADS_TO,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
