career_outcome_code,universe_code,name,governance_status,version,source_document
CAR-MGT-GEN-MANATRAI-01,UNI-MANAGEMENT,Management Trainee,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-GEN-PUBLPOLIMANA-01,UNI-MANAGEMENT,Public Policy Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-GEN-PROJMANA-01,UNI-MANAGEMENT,Project Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-GEN-COMPMANA-01,UNI-MANAGEMENT,Compliance Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-GEN-PUBLNARRSOCIIMPA-01,UNI-MANAGEMENT,Public Narrative & Social Impact Communication Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-MKT-BUSIDEVEEXECMANA-01,UNI-MANAGEMENT,Business Development Executive/Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-MKT-MARKMANA-01,UNI-MANAGEMENT,Marketing Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-MKT-LUXUBRANMANA-01,UNI-MANAGEMENT,Luxury Brand Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-MKT-PERFMARKMANA-01,UNI-MANAGEMENT,Performance Marketing Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
CAR-MGT-MKT-GROWMANA-01,UNI-MANAGEMENT,Growth Manager,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
