stream_code,career_outcome_code,relationship_type,version,source_document
MGT-STR-GEN-MANATRAI,CAR-MGT-GEN-MANATRAI-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-PUBLPOLIMANA,CAR-MGT-GEN-PUBLPOLIMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-PROJMANA,CAR-MGT-GEN-PROJMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-COMPMANA,CAR-MGT-GEN-COMPMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-PUBLNARRSOCIIMPA,CAR-MGT-GEN-PUBLNARRSOCIIMPA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-BUSIDEVEEXECMANA,CAR-MGT-MKT-BUSIDEVEEXECMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-MARKMANA,CAR-MGT-MKT-MARKMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-LUXUBRANMANA,CAR-MGT-MKT-LUXUBRANMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-PERFMARKMANA,CAR-MGT-MKT-PERFMARKMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-GROWMANA,CAR-MGT-MKT-GROWMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-COMMMANA,CAR-MGT-MKT-COMMMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-CORPCOMMMANA,CAR-MGT-MKT-CORPCOMMMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-REALESTABUSIMANA,CAR-MGT-MKT-REALESTABUSIMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-INSUBUSIMANA,CAR-MGT-MKT-INSUBUSIMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-BRANPARTMANA,CAR-MGT-MKT-BRANPARTMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-INSTSALEMANA,CAR-MGT-MKT-INSTSALEMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-FIN-FINAMANA,CAR-MGT-FIN-FINAMANA-01,LEADS_TO,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
