skill_code,name,category,description,governance_status,version,source_workbook
SKL-HUM-ACADEMIC-WRITING-334D7,"Academic writing, citation style, clarity",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ACCURACY-GRAMMAR-1C191,"Accuracy, grammar, formatting awareness",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ACTING-VOICE-MOVE-8F035,"Acting, voice, movement, teamwork",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-AGE-APPROPRIATE-W-5EFFB,"Age-appropriate writing, imagination, child psychology",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-AI-ERA-HUMANITIES-A594D,AI-era Humanities Skill,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ANALYSIS-IPA-FIEL-311C8,"Analysis, IPA, fieldwork",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ANNOTATION-EVALUA-F1FDC,"Annotation, evaluation, bias detection",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ART-KNOWLEDGE-COM-8616D,"Art knowledge, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-ASSESSMENT-ETHICS-7CC85,"Assessment, ethics, research",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-BILINGUAL-FLUENCY-4BE2C,"Bilingual fluency, accuracy, cultural adaptation, editing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-BILINGUAL-FLUENCY-EAEC1,"Bilingual fluency, accuracy, ethics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CATALOGUING-METAD-E6A86,"Cataloguing, metadata, preservation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CHILD-DEVELOPMENT-2FC81,"Child development, documentation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CLARITY-STRUCTURE-28B05,"Clarity, structure, user empathy",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CLARITY-USER-EMPA-47A21,"Clarity, user empathy, product thinking",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CLASSIFICATION-SY-16EB7,"Classification, synthesis, source evaluation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CLOSE-READING-STR-36C18,"Close reading, structure, market judgement",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COMMUNICATION-PRO-4AE9D,"Communication, proofreading, coordination",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COMMUNICATION-RES-A9944,"Communication, research, creativity, critical thinking",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COMPETITIVE-EXAM-C58B8,Competitive Exam Discipline,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COORDINATION-COMM-4E2AD,"Coordination, communication, scheduling",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COORDINATION-COMM-7EB34,"Coordination, communication, fieldwork",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COORDINATION-COMM-C1468,"Coordination, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-COUNSELLING-ASSES-7D583,"Counselling, assessment interpretation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CREATIVE-PORTFOLI-3E1E8,Creative Portfolio,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CREATIVITY-PLANNI-7B503,"Creativity, planning, communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CREATIVITY-PSYCHO-79FB9,"Creativity, psychology, language",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CREATIVITY-TECHNI-0A729,"Creativity, technique, art history",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CRITICAL-THINKING-84D44,"Critical thinking, sensitivity, policy awareness",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CRITICAL-THINKING-8D833,"Critical thinking, argumentation",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CULTURAL-AWARENES-4260B,"Cultural awareness, ethical reading, feedback skills",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CURATION-EDITING-AF113,"Curation, editing, community building",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CURATION-EDITORIA-1E2C9,"Curation, editorial judgement, thematic design",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CURATION-NETWORKI-9F76A,"Curation, networking, writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CURRENT-AFFAIRS-W-1A436,"Current affairs, writing, ethics",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-CURRICULUM-DESIGN-37B32,"Curriculum design, writing, pedagogy",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-DIGITAL-MEDIA-POR-701DB,Digital Media Portfolio,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-DIGITAL-WRITING-M-12B26,Digital Writing & Media,,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-DOCUMENTATION-TEX-D95C4,"Documentation, textual accuracy, context writing",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-DRAWING-COMPOSITI-8BB76,"Drawing, composition, storytelling",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EDITING-AI-EVALUA-552D9,"Editing, AI evaluation, fact-checking",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EDITING-CURATION-356C8,"Editing, curation, design coordination, audience building",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EDITING-STRUCTURE-2C300,"Editing, structure, language judgement, author communication",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EDITORIAL-JUDGEME-C8A53,"Editorial judgement, networking, business planning",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EMPATHY-ART-BOUND-57E3F,"Empathy, art, boundaries",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
SKL-HUM-EMPATHY-ASSESSMEN-5743A,"Empathy, assessment, ethics, research methods",,,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
