universe_code,stream_code,career_outcome_code,source_record_code
UNI-COMMERCE,STR-COM-ACTUARIAL-SCIENCE-60978,CAR-COM-ACTUARIAL-SCIENCE-60978,SRC-COM-ACTUARIAL-2-4FD58
UNI-COMMERCE,STR-COM-ADVERTISING-BRAND-37769,CAR-COM-ADVERTISING-BRAND-37769,SRC-COM-ADVERTISING-BRAND-9086B
UNI-COMMERCE,STR-COM-BANKING-CAREERS-D0CED,CAR-COM-BANKING-CAREERS-D0CED,SRC-COM-BANKING-PATHWAY-2-D934D
UNI-COMMERCE,STR-COM-BUSINESS-ANALYTIC-DA68E,CAR-COM-BUSINESS-ANALYTIC-DA68E,SRC-COM-BUSINESS-ANALYTIC-78DE2
UNI-COMMERCE,STR-COM-CHARTERED-ACCOUNT-994BF,CAR-COM-CHARTERED-ACCOUNT-994BF,SRC-COM-CA-PATHWAY-2-51ECD
UNI-COMMERCE,STR-COM-COMPANY-SECRETARY-C940B,CAR-COM-COMPANY-SECRETARY-C940B,SRC-COM-CS-PATHWAY-2-05EB2
UNI-COMMERCE,STR-COM-COST-ACCOUNTANT-D0B3B,CAR-COM-COST-ACCOUNTANT-D0B3B,SRC-COM-CMA-PATHWAY-2-20F00
UNI-COMMERCE,STR-COM-DIGITAL-BUSINESS-ED6E8,CAR-COM-DIGITAL-BUSINESS-ED6E8,SRC-COM-E-COMMERCE-2-E11E5
UNI-COMMERCE,STR-COM-DIGITAL-MARKETING-55CFE,CAR-COM-DIGITAL-MARKETING-55CFE,SRC-COM-DIGITAL-MARKETING-368B9
UNI-COMMERCE,STR-COM-E-COMMERCE-ADVANC-7DBD5,CAR-COM-E-COMMERCE-ADVANC-7DBD5,SRC-COM-E-COMMERCE-ADVANC-C54F5
UNI-COMMERCE,STR-COM-ECONOMIST-E7A1B,CAR-COM-ECONOMIST-E7A1B,SRC-COM-ECONOMICS-PATHWAY-B1ABE
UNI-COMMERCE,STR-COM-FINANCIAL-DATA-AN-0EA90,CAR-COM-FINANCIAL-DATA-AN-0EA90,SRC-COM-DATA-ANALYTICS-2-53883
UNI-COMMERCE,STR-COM-FINTECH-ADVANCED-F6969,CAR-COM-FINTECH-ADVANCED-F6969,SRC-COM-FINTECH-ADVANCED-ECAB0
UNI-COMMERCE,STR-COM-FINTECH-SPECIALIS-EC519,CAR-COM-FINTECH-SPECIALIS-EC519,SRC-COM-FINTECH-2-D07F7
UNI-COMMERCE,STR-COM-GLOBAL-FREELANCE-495EF,CAR-COM-GLOBAL-FREELANCE-495EF,SRC-COM-GLOBAL-FREELANCE-F3251
UNI-COMMERCE,STR-COM-INDUSTRY-OPERATIO-DCF99,CAR-COM-INDUSTRY-OPERATIO-DCF99,SRC-COM-INDUSTRY-OPERATIO-E2D66
UNI-COMMERCE,STR-COM-SPECIALIZED-ACCOU-9FEDB,CAR-COM-SPECIALIZED-ACCOU-9FEDB,SRC-COM-SPECIALIZED-ACCOU-CB6FB
UNI-COMMERCE,STR-COM-STOCK-MARKET-ADVA-26A90,CAR-COM-STOCK-MARKET-ADVA-26A90,SRC-COM-STOCK-MARKET-ADVA-F4D2F
UNI-COMMERCE,STR-COM-WEALTH-MANAGER-1932D,CAR-COM-WEALTH-MANAGER-1932D,SRC-COM-WEALTH-MGMT-2-FFA8A
UNI-HUMANITIES,STR-HUM-ACADEMIC-EDITOR-8FE3E,CAR-HUM-ACADEMIC-EDITOR-8FE3E,SRC-HUM-CAREER-MASTER-129-99366
UNI-HUMANITIES,STR-HUM-ACQUISITION-EDITO-E5900,CAR-HUM-ACQUISITION-EDITO-E5900,SRC-HUM-CAREER-MASTER-125-880CE
UNI-HUMANITIES,STR-HUM-ADVERTISING-COPYW-AB760,CAR-HUM-ADVERTISING-COPYW-AB760,SRC-HUM-CAREER-MASTER-57-8D4F7
UNI-HUMANITIES,STR-HUM-AI-ASSISTED-EDITO-A6525,CAR-HUM-AI-ASSISTED-EDITO-A6525,SRC-HUM-CAREER-MASTER-156-75B2B
UNI-HUMANITIES,STR-HUM-AI-DATASET-LANGUA-64E98,CAR-HUM-AI-DATASET-LANGUA-64E98,SRC-HUM-HUMANITIES-TECHNO-7337D
UNI-HUMANITIES,STR-HUM-AI-ETHICS-RESEARC-B2E92,CAR-HUM-AI-ETHICS-RESEARC-B2E92,SRC-HUM-HUMANITIES-TECHNO-D7720
UNI-HUMANITIES,STR-HUM-AI-TRAINING-CONTE-0533F,CAR-HUM-AI-TRAINING-CONTE-0533F,SRC-HUM-CAREER-MASTER-160-F1831
UNI-HUMANITIES,STR-HUM-ANTHOLOGY-CURATOR-818CA,CAR-HUM-ANTHOLOGY-CURATOR-818CA,SRC-HUM-CAREER-MASTER-146-00E3C
UNI-HUMANITIES,STR-HUM-ARCHAEOLOGIST-61BB2,CAR-HUM-ARCHAEOLOGIST-61BB2,SRC-HUM-CAREER-MASTER-13-AAC93
UNI-HUMANITIES,STR-HUM-ARCHIVE-EDITOR-EB0FD,CAR-HUM-ARCHIVE-EDITOR-EB0FD,SRC-HUM-CAREER-MASTER-147-A6F34
UNI-HUMANITIES,STR-HUM-ARCHIVIST-7B3C2,CAR-HUM-ARCHIVIST-7B3C2,SRC-HUM-CAREER-MASTER-11-402FC
UNI-HUMANITIES,STR-HUM-ART-GALLERY-COORD-D5C46,CAR-HUM-ART-GALLERY-COORD-D5C46,SRC-HUM-CAREER-MASTER-81-CAB54
UNI-HUMANITIES,STR-HUM-ART-TEACHER-VISUA-751D0,CAR-HUM-ART-TEACHER-VISUA-751D0,SRC-HUM-CAREER-MASTER-64-843C8
UNI-HUMANITIES,STR-HUM-ART-THERAPIST-ASS-95302,CAR-HUM-ART-THERAPIST-ASS-95302,SRC-HUM-CAREER-MASTER-66-C721A
UNI-HUMANITIES,STR-HUM-AUDIOBOOK-SCRIPT-ABA83,CAR-HUM-AUDIOBOOK-SCRIPT-ABA83,SRC-HUM-CAREER-MASTER-139-278F7
UNI-HUMANITIES,STR-HUM-BEHAVIOURAL-SCIEN-BE382,CAR-HUM-BEHAVIOURAL-SCIEN-BE382,SRC-HUM-CAREER-MASTER-36-7A11A
UNI-HUMANITIES,STR-HUM-BIOETHICS-MEDICAL-20FED,CAR-HUM-BIOETHICS-MEDICAL-20FED,SRC-HUM-CAREER-MASTER-44-6D2D1
UNI-HUMANITIES,STR-HUM-BLOG-WRITER-E519C,CAR-HUM-BLOG-WRITER-E519C,SRC-HUM-CAREER-MASTER-100-D0ED0
UNI-HUMANITIES,STR-HUM-BOOK-EDITOR-AAD54,CAR-HUM-BOOK-EDITOR-AAD54,SRC-HUM-CAREER-MASTER-122-17C17
UNI-HUMANITIES,STR-HUM-BOOK-METADATA-SPE-F0513,CAR-HUM-BOOK-METADATA-SPE-F0513,SRC-HUM-CAREER-MASTER-140-176B0
UNI-HUMANITIES,STR-HUM-BOOK-REVIEWER-8F54D,CAR-HUM-BOOK-REVIEWER-8F54D,SRC-HUM-CAREER-MASTER-143-F0F04
UNI-HUMANITIES,STR-HUM-BROADCAST-JOURNAL-88D68,CAR-HUM-BROADCAST-JOURNAL-88D68,SRC-HUM-CAREER-MASTER-53-20780
UNI-HUMANITIES,STR-HUM-CAREER-COUNSELLOR-9BED9,CAR-HUM-CAREER-COUNSELLOR-9BED9,SRC-HUM-CAREER-MASTER-50-C4E9A
