stream_code,universe_code,domain_code,name,description,path_type,governance_status,version,source_workbook
STR-COM-ACTUARIAL-SCIENCE-60978,UNI-COMMERCE,DOM-COM-ACTUARIAL-6ADF8,Actuarial Science,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-ADVERTISING-BRAND-37769,UNI-COMMERCE,DOM-COM-ADVERTISING-BRAND-37769,Advertising & Branding,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-BANKING-CAREERS-D0CED,UNI-COMMERCE,DOM-COM-BANKING-PATHWAY-EDA9F,Banking Careers,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-BUSINESS-ANALYTIC-DA68E,UNI-COMMERCE,DOM-COM-BUSINESS-ANALYTIC-DA68E,Business Analytics,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-CHARTERED-ACCOUNT-994BF,UNI-COMMERCE,DOM-COM-CA-PATHWAY-88207,Chartered Accountant,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-COMPANY-SECRETARY-C940B,UNI-COMMERCE,DOM-COM-CS-PATHWAY-28DDE,Company Secretary,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-COST-ACCOUNTANT-D0B3B,UNI-COMMERCE,DOM-COM-CMA-PATHWAY-4FFE5,Cost Accountant,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-DIGITAL-BUSINESS-ED6E8,UNI-COMMERCE,DOM-COM-E-COMMERCE-89DCD,Digital Business,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-DIGITAL-MARKETING-55CFE,UNI-COMMERCE,DOM-COM-DIGITAL-MARKETING-55CFE,Digital Marketing,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-E-COMMERCE-ADVANC-7DBD5,UNI-COMMERCE,DOM-COM-E-COMMERCE-ADVANC-7DBD5,E-Commerce Advanced,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-ECONOMIST-E7A1B,UNI-COMMERCE,DOM-COM-ECONOMICS-PATHWAY-C0E7D,Economist,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-FINANCIAL-DATA-AN-0EA90,UNI-COMMERCE,DOM-COM-DATA-ANALYTICS-01593,Financial Data Analyst,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-FINTECH-ADVANCED-F6969,UNI-COMMERCE,DOM-COM-FINTECH-ADVANCED-F6969,FinTech Advanced,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-FINTECH-SPECIALIS-EC519,UNI-COMMERCE,DOM-COM-FINTECH-7433A,FinTech Specialist,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-GLOBAL-FREELANCE-495EF,UNI-COMMERCE,DOM-COM-GLOBAL-FREELANCE-495EF,Global Freelance Careers,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-INDUSTRY-OPERATIO-DCF99,UNI-COMMERCE,DOM-COM-INDUSTRY-OPERATIO-DCF99,Industry Operations,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-SPECIALIZED-ACCOU-9FEDB,UNI-COMMERCE,DOM-COM-SPECIALIZED-ACCOU-9FEDB,Specialized Accounting,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-STOCK-MARKET-ADVA-26A90,UNI-COMMERCE,DOM-COM-STOCK-MARKET-ADVA-26A90,Stock Market Advanced,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-COM-WEALTH-MANAGER-1932D,UNI-COMMERCE,DOM-COM-WEALTH-MGMT-7EB89,Wealth Manager,,Core,Validated,0.6.1a,3-Structured - Commerce.xlsx
STR-HUM-ACADEMIC-EDITOR-8FE3E,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Academic Editor,"Improve research papers, theses and academic manuscripts",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ACQUISITION-EDITO-E5900,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Acquisition Editor,"Identify manuscripts, authors and publishing opportunities",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ADVERTISING-COPYW-AB760,UNI-HUMANITIES,DOM-HUM-JOURNALISM-MEDIA-0A08B,Advertising Copywriter,"Write slogans, campaigns and brand narratives",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-AI-ASSISTED-EDITO-A6525,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,AI-Assisted Editor,Use AI tools while applying human editorial judgement and quality control,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-AI-DATASET-LANGUA-64E98,UNI-HUMANITIES,DOM-HUM-HUMANITIES-TECHNO-838F3,AI Dataset Language Annotator,,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-AI-ETHICS-RESEARC-B2E92,UNI-HUMANITIES,DOM-HUM-HUMANITIES-AI-EE1A7,AI Ethics Researcher,"Policy, AI Governance",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-AI-TRAINING-CONTE-0533F,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,AI Training Content Reviewer,"Review training data and AI outputs for accuracy, tone, bias and usefulness",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ANTHOLOGY-CURATOR-818CA,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Anthology Curator,"Select and organise writings around themes, regions or communities",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ARCHAEOLOGIST-61BB2,UNI-HUMANITIES,DOM-HUM-HISTORY-HERITAGE-8BCC6,Archaeologist,Excavation and study of material remains,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ARCHIVE-EDITOR-EB0FD,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Archive Editor,"Edit historical, archival or manuscript material for publication",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ARCHIVIST-7B3C2,UNI-HUMANITIES,DOM-HUM-HISTORY-HERITAGE-8BCC6,Archivist,"Preserve records, manuscripts and documents",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ART-GALLERY-COORD-D5C46,UNI-HUMANITIES,DOM-HUM-CULTURAL-MUSEUM-H-15A96,Art Gallery Coordinator,"Coordinate exhibitions, artists and gallery operations",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ART-TEACHER-VISUA-751D0,UNI-HUMANITIES,DOM-HUM-PERFORMING-FINE-A-8422E,Art Teacher / Visual Arts Educator,"Teach drawing, painting and art appreciation",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-ART-THERAPIST-ASS-95302,UNI-HUMANITIES,DOM-HUM-PERFORMING-FINE-A-8422E,Art Therapist Assistant / Expressive Arts Facilitator,Use art activities in wellbeing/education under proper scope,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-AUDIOBOOK-SCRIPT-ABA83,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Audiobook Script Editor,"Edit manuscripts for audio narration, pacing and listener clarity",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BEHAVIOURAL-SCIEN-BE382,UNI-HUMANITIES,DOM-HUM-PSYCHOLOGY-BEHAVI-C524E,Behavioural Science Researcher,"Study decision-making for policy, health or education",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BIOETHICS-MEDICAL-20FED,UNI-HUMANITIES,DOM-HUM-PHILOSOPHY-ETHICS-DCD19,Bioethics / Medical Humanities Associate,"Study ethical issues in health, medicine and society",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BLOG-WRITER-E519C,UNI-HUMANITIES,DOM-HUM-AI-ERA-HUMANITIES-5D7A4,Blog Writer,"Independent Writing, Media",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BOOK-EDITOR-AAD54,UNI-HUMANITIES,DOM-HUM-PUBLISHING-WRITIN-53DF9,Book Editor,Edit manuscripts for clarity and style,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BOOK-METADATA-SPE-F0513,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Book Metadata Specialist,"Create keywords, categories and descriptions that improve book discoverability",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BOOK-REVIEWER-8F54D,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Book Reviewer,"Review books for media, publishers, blogs and digital platforms",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-BROADCAST-JOURNAL-88D68,UNI-HUMANITIES,DOM-HUM-JOURNALISM-MEDIA-0A08B,Broadcast Journalist / News Anchor,Present and report news for TV/digital video,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CAREER-COUNSELLOR-9BED9,UNI-HUMANITIES,DOM-HUM-EDUCATION-TEACHIN-F6148,Career Counsellor - Humanities Route,Guide students on education and career pathways,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CHILDREN-S-LITERA-C5E5A,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Children’s Literature Specialist,"Create, edit or evaluate children’s books and learning material",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CIVIL-SERVICES-IA-4F46C,UNI-HUMANITIES,DOM-HUM-POLITICAL-SCIENCE-1E5AB,Civil Services - IAS/IPS/IFS/IRS via UPSC CSE,"Policy implementation, administration and public service",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CLASSICAL-MUSIC-P-F4940,UNI-HUMANITIES,DOM-HUM-PERFORMING-FINE-A-8422E,Classical Music Performer,"Perform, teach and research classical music",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CLINICAL-PSYCHOLO-69C83,UNI-HUMANITIES,DOM-HUM-PSYCHOLOGY-BEHAVI-C524E,Clinical Psychologist,"Assessment, diagnosis support and therapy under proper qualification",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-COLLEGE-PROFESSOR-E76DF,UNI-HUMANITIES,DOM-HUM-EDUCATION-TEACHIN-F6148,College Professor - Humanities,Teach and research at college/university level,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-COMMISSIONING-EDI-D8627,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Commissioning Editor,Plan book lists and commission authors for specific markets,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-COMMUNITY-MANAGER-597D7,UNI-HUMANITIES,DOM-HUM-HUMAN-CENTRED-EME-EC587,Community Manager,"Brands, Online Communities",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CONSERVATION-DOCU-E3E61,UNI-HUMANITIES,DOM-HUM-HISTORY-HERITAGE-8BCC6,Conservation Documentation Assistant,Document objects/buildings for conservation teams,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CONTENT-CURATOR-E34F9,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Content Curator,"Select, organise and present knowledge/content for audiences",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CONTENT-MODERATOR-F65E1,UNI-HUMANITIES,DOM-HUM-FOREIGN-LANGUAGES-A2E1D,Content Moderator - Language & Culture,Review user content for policy and cultural context,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CONVERSATIONAL-AI-15989,UNI-HUMANITIES,DOM-HUM-HUMANITIES-AI-EE1A7,Conversational AI Trainer,AI Industry,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-COPY-EDITOR-107AE,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Copy Editor,"Correct grammar, style, consistency and factual presentation",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-COUNSELLING-PSYCH-4CCBB,UNI-HUMANITIES,DOM-HUM-PSYCHOLOGY-BEHAVI-C524E,Counselling Psychologist,"Counselling for education, career, family and emotional concerns",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CREATIVE-WRITER-A-FC761,UNI-HUMANITIES,DOM-HUM-PUBLISHING-WRITIN-53DF9,Creative Writer / Author,"Write fiction, poetry, essays and nonfiction",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CSR-SOCIAL-IMPACT-2A279,UNI-HUMANITIES,DOM-HUM-SOCIOLOGY-SOCIAL-ACBF8,CSR Social Impact Associate,Support CSR projects and impact reporting,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CULTURAL-AI-CONSU-D0D38,UNI-HUMANITIES,DOM-HUM-HUMANITIES-TECHNO-838F3,Cultural AI Consultant,,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CULTURAL-DOCUMENT-A72E9,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Cultural Documentation Publisher,"Document and publish folk stories, oral histories, crafts and local culture",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CULTURAL-ENTREPRE-40603,UNI-HUMANITIES,DOM-HUM-CULTURAL-MUSEUM-H-15A96,Cultural Entrepreneur,"Build ventures around culture, arts, heritage or learning",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CULTURAL-PROGRAMM-E1870,UNI-HUMANITIES,DOM-HUM-CULTURAL-MUSEUM-H-15A96,Cultural Programme Coordinator,Plan cultural events and public programmes,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-CURRICULUM-DEVELO-B86E5,UNI-HUMANITIES,DOM-HUM-EDUCATION-TEACHIN-F6148,Curriculum Developer - Humanities,"Design syllabi, lessons and learning resources",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DANCE-PERFORMER-C-BCB11,UNI-HUMANITIES,DOM-HUM-PERFORMING-FINE-A-8422E,Dance Performer / Choreographer,Perform and choreograph dance,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DEVELOPMENT-SECTO-C20C8,UNI-HUMANITIES,DOM-HUM-SOCIOLOGY-SOCIAL-ACBF8,Development Sector Professional,Implement and monitor development projects,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DIGITAL-ARCHIVE-S-710AF,UNI-HUMANITIES,DOM-HUM-HUMANITIES-TECHNO-838F3,Digital Archive Specialist,,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DIGITAL-HUMANITIE-6B782,UNI-HUMANITIES,DOM-HUM-HUMANITIES-AI-EE1A7,Digital Humanities Researcher,"Academia, Archives",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DIGITAL-MAGAZINE-5E9CE,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Digital Magazine Creator,"Create niche online magazines for culture, literature, education or society",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DISASTER-MANAGEME-89B79,UNI-HUMANITIES,DOM-HUM-GEOGRAPHY-ENVIRON-49E1C,Disaster Management Professional - Social Side,Community preparedness and relief coordination,Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-DOCUMENTARY-RESEA-33884,UNI-HUMANITIES,DOM-HUM-JOURNALISM-MEDIA-0A08B,Documentary Researcher,"Research topics, archives and field stories",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
STR-HUM-EBOOK-FORMATTER-7276A,UNI-HUMANITIES,DOM-HUM-PUBLISHING-EDITOR-37FCF,Ebook Formatter,"Prepare manuscripts for EPUB, Kindle and digital reading formats",Core,Validated,0.6.1a,2-Structured- Arts_Humanities.xlsx
